show_id,type,release_year,year_added,country
s1,Movie,2020,2021.0,United States
s2,TV Show,2021,2021.0,South Africa
s3,TV Show,2021,2021.0,Unknown
s4,TV Show,2021,2021.0,Unknown
s5,TV Show,2021,2021.0,India
s6,TV Show,2021,2021.0,Unknown
s7,Movie,2021,2021.0,Unknown
s8,Movie,1993,2021.0,United States
s8,Movie,1993,2021.0,Ghana
s8,Movie,1993,2021.0,Burkina Faso
s8,Movie,1993,2021.0,United Kingdom
s8,Movie,1993,2021.0,Germany
s8,Movie,1993,2021.0,Ethiopia
s9,TV Show,2021,2021.0,United Kingdom
s10,Movie,2021,2021.0,United States
s11,TV Show,2021,2021.0,Unknown
s12,TV Show,2021,2021.0,Unknown
s13,Movie,2021,2021.0,Germany
s13,Movie,2021,2021.0,Czech Republic
s14,Movie,2021,2021.0,Unknown
s15,TV Show,2021,2021.0,Unknown
s16,TV Show,2021,2021.0,United States
s17,Movie,2020,2021.0,Unknown
s18,TV Show,2020,2021.0,Mexico
s19,Movie,2021,2021.0,Unknown
s20,TV Show,2021,2021.0,Unknown
s21,TV Show,2021,2021.0,Unknown
s22,TV Show,2018,2021.0,Turkey
s23,Movie,1996,2021.0,Unknown
s24,Movie,2021,2021.0,Unknown
s25,Movie,1998,2021.0,India
s26,TV Show,2021,2021.0,Australia
s27,Movie,1997,2021.0,Unknown
s28,Movie,2010,2021.0,United States
s29,Movie,2013,2021.0,United States
s30,Movie,2013,2021.0,United States
s30,Movie,2013,2021.0,India
s30,Movie,2013,2021.0,France
s31,Movie,2021,2021.0,Unknown
s32,TV Show,2021,2021.0,Unknown
s33,TV Show,2020,2021.0,United Kingdom
s34,TV Show,2021,2021.0,Unknown
s35,TV Show,2020,2021.0,Unknown
s36,Movie,2021,2021.0,Unknown
s37,Movie,2021,2021.0,Unknown
s38,TV Show,2018,2021.0,Finland
s39,Movie,2017,2021.0,China
s39,Movie,2017,2021.0,Canada
s39,Movie,2017,2021.0,United States
s40,TV Show,2021,2021.0,India
s41,TV Show,2021,2021.0,United States
s42,Movie,1975,2021.0,United States
s43,Movie,1978,2021.0,United States
s44,Movie,1983,2021.0,United States
s45,Movie,1987,2021.0,United States
s46,Movie,2021,2021.0,Unknown
s47,Movie,2012,2021.0,South Africa
s47,Movie,2012,2021.0,United States
s47,Movie,2012,2021.0,Japan
s48,TV Show,2020,2021.0,Unknown
s49,Movie,2001,2021.0,United States
s50,TV Show,2021,2021.0,Nigeria
s51,TV Show,2014,2021.0,India
s52,Movie,2002,2021.0,Japan
s53,Movie,2003,2021.0,Japan
s54,Movie,2004,2021.0,Japan
s55,Movie,2001,2021.0,Japan
s56,TV Show,2021,2021.0,United States
s57,Movie,2011,2021.0,Japan
s58,Movie,2008,2021.0,Japan
s59,Movie,2009,2021.0,Japan
s60,Movie,2007,2021.0,Japan
s61,Movie,2010,2021.0,Japan
s62,Movie,2005,2021.0,Japan
s63,Movie,2006,2021.0,Japan
s64,Movie,2004,2021.0,Japan
s65,Movie,2021,2021.0,Unknown
s66,TV Show,2021,2021.0,United Kingdom
s67,TV Show,2014,2021.0,India
s68,TV Show,1994,2021.0,United States
s69,Movie,2021,2021.0,Unknown
s70,TV Show,2015,2021.0,India
s71,TV Show,2021,2021.0,Unknown
s72,Movie,2021,2021.0,Unknown
s73,TV Show,2021,2021.0,United Kingdom
s74,Movie,2018,2021.0,Nigeria
s75,TV Show,2021,2021.0,Unknown
s76,Movie,2021,2021.0,Unknown
s77,TV Show,2013,2021.0,Japan
s78,Movie,2021,2021.0,Unknown
s79,Movie,2020,2021.0,Unknown
s80,Movie,2021,2021.0,Unknown
s81,Movie,2021,2021.0,Unknown
s82,Movie,2021,2021.0,United States
s83,TV Show,2021,2021.0,United States
s84,TV Show,2021,2021.0,Unknown
s85,Movie,2020,2021.0,Nigeria
s86,TV Show,2021,2021.0,Unknown
s87,Movie,2021,2021.0,Unknown
s88,TV Show,2019,2021.0,Unknown
s89,Movie,2021,2021.0,Unknown
s90,TV Show,2017,2021.0,Unknown
s91,Movie,2019,2021.0,Spain
s91,Movie,2019,2021.0,United States
s92,Movie,2021,2021.0,France
s93,TV Show,2021,2021.0,Belgium
s94,Movie,2021,2021.0,Unknown
s95,Movie,2018,2021.0,United Kingdom
s95,Movie,2018,2021.0,United States
s96,TV Show,2021,2021.0,United States
s96,TV Show,2021,2021.0,United Kingdom
s97,Movie,2018,2021.0,United States
s98,TV Show,2021,2021.0,United States
s99,TV Show,2021,2021.0,United Kingdom
s100,TV Show,2021,2021.0,France
s100,TV Show,2021,2021.0,United States
s101,TV Show,2019,2021.0,Unknown
s102,Movie,2021,2021.0,United States
s103,TV Show,2021,2021.0,Unknown
s104,Movie,2020,2021.0,Unknown
s105,TV Show,2016,2021.0,South Korea
s106,Movie,2017,2021.0,India
s107,TV Show,2021,2021.0,United States
s108,Movie,2018,2021.0,United States
s109,TV Show,2021,2021.0,Australia
s110,TV Show,2021,2021.0,Spain
s111,TV Show,2021,2021.0,Unknown
s112,TV Show,2021,2021.0,United States
s112,TV Show,2021,2021.0,Singapore
s113,Movie,2021,2021.0,Unknown
s114,Movie,2021,2021.0,Unknown
s115,Movie,1994,2021.0,India
s116,Movie,2009,2021.0,United Kingdom
s116,Movie,2009,2021.0,Australia
s116,Movie,2009,2021.0,France
s117,Movie,2015,2021.0,India
s118,Movie,2021,2021.0,United Kingdom
s118,Movie,2021,2021.0,United States
s119,Movie,2017,2021.0,India
s120,Movie,2020,2021.0,Unknown
s121,TV Show,2021,2021.0,Australia
s122,TV Show,2019,2021.0,Unknown
s123,Movie,2003,2021.0,United Kingdom
s123,Movie,2003,2021.0,Australia
s123,Movie,2003,2021.0,France
s123,Movie,2003,2021.0,United States
s124,TV Show,2012,2021.0,Unknown
s125,TV Show,2013,2021.0,South Korea
s126,TV Show,2021,2021.0,United States
s127,Movie,2020,2021.0,India
s128,Movie,2004,2021.0,United States
s128,Movie,2004,2021.0,Canada
s129,Movie,2017,2021.0,Unknown
s130,Movie,2005,2021.0,Germany
s130,Movie,2005,2021.0,United States
s131,Movie,2021,2021.0,Unknown
s132,Movie,1982,2021.0,United States
s133,TV Show,2021,2021.0,Unknown
s134,Movie,2015,2021.0,South Africa
s134,Movie,2015,2021.0,United States
s135,Movie,1994,2021.0,United States
s135,Movie,1994,2021.0,Mexico
s136,Movie,1993,2021.0,United States
s136,Movie,1993,2021.0,Italy
s136,Movie,1993,2021.0,France
s136,Movie,1993,2021.0,Japan
s137,Movie,2003,2021.0,United States
s137,Movie,2003,2021.0,Italy
s137,Movie,2003,2021.0,Romania
s137,Movie,2003,2021.0,United Kingdom
s138,Movie,2001,2021.0,Australia
s138,Movie,2001,2021.0,United States
s139,Movie,2010,2021.0,United States
s140,Movie,1989,2021.0,United States
s141,Movie,2014,2021.0,Argentina
s141,Movie,2014,2021.0,Venezuela
s142,Movie,2015,2021.0,United States
s142,Movie,2015,2021.0,United Kingdom
s142,Movie,2015,2021.0,Canada
s143,Movie,2007,2021.0,Germany
s143,Movie,2007,2021.0,United States
s144,Movie,2011,2021.0,United States
s145,Movie,1990,2021.0,United States
s146,Movie,1991,2021.0,United States
s147,Movie,1994,2021.0,United States
s148,TV Show,2021,2021.0,Unknown
s149,TV Show,2020,2021.0,Unknown
s150,Movie,1998,2021.0,United States
s151,Movie,1999,2021.0,United States
s152,Movie,2005,2021.0,China
s152,Movie,2005,2021.0,Hong Kong
s153,Movie,2016,2021.0,United States
s154,TV Show,2016,2021.0,Russia
s155,TV Show,2015,2021.0,Japan
s156,Movie,1986,2021.0,United Kingdom
s156,Movie,1986,2021.0,United States
s157,Movie,2010,2021.0,United States
s158,Movie,2018,2021.0,Canada
s159,Movie,2003,2021.0,United States
s160,Movie,2010,2021.0,Hong Kong
s161,TV Show,1992,2021.0,United States
s162,Movie,1996,2021.0,United States
s163,Movie,2017,2021.0,United States
s163,Movie,2017,2021.0,China
s163,Movie,2017,2021.0,Hong Kong
s164,Movie,2003,2021.0,United States
s165,Movie,1999,2021.0,United States
s166,TV Show,2019,2021.0,Unknown
s167,Movie,1984,2021.0,Italy
s167,Movie,1984,2021.0,United States
s168,Movie,2008,2021.0,United States
s168,Movie,2008,2021.0,Canada
s169,Movie,2001,2021.0,United States
s170,Movie,2006,2021.0,United States
s171,Movie,1997,2021.0,United States
s172,Movie,2017,2021.0,United States
s173,Movie,2003,2021.0,United States
s173,Movie,2003,2021.0,Germany
s174,Movie,2015,2021.0,United States
s175,Movie,2003,2021.0,United States
s176,Movie,1980,2021.0,United States
s177,Movie,1986,2021.0,United States
s178,Movie,1961,2021.0,United Kingdom
s178,Movie,1961,2021.0,United States
s179,Movie,2014,2021.0,United States
s180,Movie,1996,2021.0,United States
s181,Movie,2000,2021.0,Unknown
s182,TV Show,2021,2021.0,Unknown
s183,Movie,2008,2021.0,United States
s184,Movie,1993,2021.0,United States
s185,TV Show,2021,2021.0,United States
s186,Movie,2021,2021.0,Unknown
s187,TV Show,2021,2021.0,Unknown
s188,TV Show,2021,2021.0,Unknown
s189,Movie,2008,2021.0,France
s190,TV Show,2020,2021.0,Unknown
s191,Movie,2021,2021.0,India
s192,Movie,2017,2021.0,United Kingdom
s192,Movie,2017,2021.0,Canada
s192,Movie,2017,2021.0,United States
s193,Movie,2008,2021.0,India
s194,TV Show,2021,2021.0,South Korea
s195,TV Show,2002,2021.0,Unknown
s196,Movie,2008,2021.0,India
s197,Movie,2021,2021.0,Unknown
s198,TV Show,2021,2021.0,Unknown
s199,TV Show,2021,2021.0,Nigeria
s200,Movie,2006,2021.0,India
s201,Movie,2004,2021.0,India
s202,Movie,2003,2021.0,India
s203,Movie,2005,2021.0,India
s204,Movie,2016,2021.0,India
s205,Movie,2012,2021.0,India
s206,Movie,2001,2021.0,India
s207,Movie,2010,2021.0,India
s208,Movie,2008,2021.0,India
s209,Movie,2010,2021.0,India
s210,Movie,2013,2021.0,India
s211,Movie,2011,2021.0,India
s212,Movie,2014,2021.0,India
s213,TV Show,2016,2021.0,Ireland
s214,TV Show,2021,2021.0,Unknown
s215,Movie,2021,2021.0,Unknown
s216,Movie,2007,2021.0,India
s217,Movie,2011,2021.0,India
s218,Movie,2011,2021.0,India
s219,TV Show,2021,2021.0,Unknown
s220,TV Show,2021,2021.0,Japan
s221,TV Show,2021,2021.0,United States
s222,Movie,2021,2021.0,Unknown
s223,TV Show,2021,2021.0,Unknown
s224,TV Show,2021,2021.0,Unknown
s225,TV Show,2021,2021.0,Unknown
s226,TV Show,2021,2021.0,Unknown
