show_id,type,release_year,year_added,genre
s1,Movie,2020,2021.0,Documentaries
s2,TV Show,2021,2021.0,International TV Shows
s2,TV Show,2021,2021.0,TV Dramas
s2,TV Show,2021,2021.0,TV Mysteries
s3,TV Show,2021,2021.0,Crime TV Shows
s3,TV Show,2021,2021.0,International TV Shows
s3,TV Show,2021,2021.0,TV Action & Adventure
s4,TV Show,2021,2021.0,Docuseries
s4,TV Show,2021,2021.0,Reality TV
s5,TV Show,2021,2021.0,International TV Shows
s5,TV Show,2021,2021.0,Romantic TV Shows
s5,TV Show,2021,2021.0,TV Comedies
s6,TV Show,2021,2021.0,TV Dramas
s6,TV Show,2021,2021.0,TV Horror
s6,TV Show,2021,2021.0,TV Mysteries
s7,Movie,2021,2021.0,Children & Family Movies
s8,Movie,1993,2021.0,Dramas
s8,Movie,1993,2021.0,Independent Movies
s8,Movie,1993,2021.0,International Movies
s9,TV Show,2021,2021.0,British TV Shows
s9,TV Show,2021,2021.0,Reality TV
s10,Movie,2021,2021.0,Comedies
s10,Movie,2021,2021.0,Dramas
s11,TV Show,2021,2021.0,Crime TV Shows
s11,TV Show,2021,2021.0,Docuseries
s11,TV Show,2021,2021.0,International TV Shows
s12,TV Show,2021,2021.0,Crime TV Shows
s12,TV Show,2021,2021.0,International TV Shows
s12,TV Show,2021,2021.0,TV Action & Adventure
s13,Movie,2021,2021.0,Dramas
s13,Movie,2021,2021.0,International Movies
s14,Movie,2021,2021.0,Children & Family Movies
s14,Movie,2021,2021.0,Comedies
s15,TV Show,2021,2021.0,British TV Shows
s15,TV Show,2021,2021.0,Crime TV Shows
s15,TV Show,2021,2021.0,Docuseries
s16,TV Show,2021,2021.0,TV Comedies
s16,TV Show,2021,2021.0,TV Dramas
s17,Movie,2020,2021.0,Documentaries
s17,Movie,2020,2021.0,International Movies
s18,TV Show,2020,2021.0,Crime TV Shows
s18,TV Show,2020,2021.0,Spanish-Language TV Shows
s18,TV Show,2020,2021.0,TV Dramas
s19,Movie,2021,2021.0,Thrillers
s20,TV Show,2021,2021.0,International TV Shows
s20,TV Show,2021,2021.0,Spanish-Language TV Shows
s20,TV Show,2021,2021.0,TV Action & Adventure
s21,TV Show,2021,2021.0,Crime TV Shows
s21,TV Show,2021,2021.0,Docuseries
s21,TV Show,2021,2021.0,International TV Shows
s22,TV Show,2018,2021.0,International TV Shows
s22,TV Show,2018,2021.0,TV Action & Adventure
s22,TV Show,2018,2021.0,TV Dramas
s23,Movie,1996,2021.0,Comedies
s23,Movie,1996,2021.0,International Movies
s24,Movie,2021,2021.0,Children & Family Movies
s25,Movie,1998,2021.0,Comedies
s25,Movie,1998,2021.0,International Movies
s25,Movie,1998,2021.0,Romantic Movies
s26,TV Show,2021,2021.0,Docuseries
s26,TV Show,2021,2021.0,International TV Shows
s26,TV Show,2021,2021.0,Reality TV
s27,Movie,1997,2021.0,Comedies
s27,Movie,1997,2021.0,International Movies
s27,Movie,1997,2021.0,Music & Musicals
s28,Movie,2010,2021.0,Comedies
s29,Movie,2013,2021.0,Horror Movies
s29,Movie,2013,2021.0,Sci-Fi & Fantasy
s30,Movie,2013,2021.0,Thrillers
s31,Movie,2021,2021.0,Dramas
s31,Movie,2021,2021.0,Independent Movies
s31,Movie,2021,2021.0,International Movies
s32,TV Show,2021,2021.0,TV Comedies
s33,TV Show,2020,2021.0,British TV Shows
s33,TV Show,2020,2021.0,International TV Shows
s33,TV Show,2020,2021.0,TV Comedies
s34,TV Show,2021,2021.0,International TV Shows
s34,TV Show,2021,2021.0,TV Dramas
s34,TV Show,2021,2021.0,TV Thrillers
s35,TV Show,2020,2021.0,Kids' TV
s36,Movie,2021,2021.0,Dramas
s36,Movie,2021,2021.0,International Movies
s36,Movie,2021,2021.0,Thrillers
s37,Movie,2021,2021.0,Action & Adventure
s37,Movie,2021,2021.0,Dramas
s37,Movie,2021,2021.0,International Movies
s38,TV Show,2018,2021.0,Kids' TV
s38,TV Show,2018,2021.0,TV Comedies
s39,Movie,2017,2021.0,Action & Adventure
s39,Movie,2017,2021.0,Dramas
